source,ticker,horizon,fold,scheme,window,model,weight
e1,AAPL,5,0,equal,expanding,elasticnet,0.2
e1,AAPL,5,0,equal,expanding,huber,0.2
e1,AAPL,5,0,equal,expanding,pls,0.2
e1,AAPL,5,0,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,0,equal,expanding,xgb,0.2
e1,AAPL,5,1,equal,expanding,elasticnet,0.2
e1,AAPL,5,1,equal,expanding,huber,0.2
e1,AAPL,5,1,equal,expanding,pls,0.2
e1,AAPL,5,1,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,1,equal,expanding,xgb,0.2
e1,AAPL,5,2,equal,expanding,elasticnet,0.2
e1,AAPL,5,2,equal,expanding,huber,0.2
e1,AAPL,5,2,equal,expanding,pls,0.2
e1,AAPL,5,2,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,2,equal,expanding,xgb,0.2
e1,AAPL,5,3,equal,expanding,elasticnet,0.2
e1,AAPL,5,3,equal,expanding,huber,0.2
e1,AAPL,5,3,equal,expanding,pls,0.2
e1,AAPL,5,3,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,3,equal,expanding,xgb,0.2
e1,AAPL,5,4,equal,expanding,elasticnet,0.2
e1,AAPL,5,4,equal,expanding,huber,0.2
e1,AAPL,5,4,equal,expanding,pls,0.2
e1,AAPL,5,4,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,4,equal,expanding,xgb,0.2
e1,AAPL,5,5,equal,expanding,elasticnet,0.2
e1,AAPL,5,5,equal,expanding,huber,0.2
e1,AAPL,5,5,equal,expanding,pls,0.2
e1,AAPL,5,5,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,5,equal,expanding,xgb,0.2
e1,AAPL,5,6,equal,expanding,elasticnet,0.2
e1,AAPL,5,6,equal,expanding,huber,0.2
e1,AAPL,5,6,equal,expanding,pls,0.2
e1,AAPL,5,6,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,6,equal,expanding,xgb,0.2
e1,AAPL,5,7,equal,expanding,elasticnet,0.2
e1,AAPL,5,7,equal,expanding,huber,0.2
e1,AAPL,5,7,equal,expanding,pls,0.2
e1,AAPL,5,7,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,7,equal,expanding,xgb,0.2
e1,AAPL,5,8,equal,expanding,elasticnet,0.2
e1,AAPL,5,8,equal,expanding,huber,0.2
e1,AAPL,5,8,equal,expanding,pls,0.2
e1,AAPL,5,8,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,8,equal,expanding,xgb,0.2
e1,AAPL,5,9,equal,expanding,elasticnet,0.2
e1,AAPL,5,9,equal,expanding,huber,0.2
e1,AAPL,5,9,equal,expanding,pls,0.2
e1,AAPL,5,9,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,9,equal,expanding,xgb,0.2
e1,AAPL,5,10,equal,expanding,elasticnet,0.2
e1,AAPL,5,10,equal,expanding,huber,0.2
e1,AAPL,5,10,equal,expanding,pls,0.2
e1,AAPL,5,10,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,10,equal,expanding,xgb,0.2
e1,AAPL,5,11,equal,expanding,elasticnet,0.2
e1,AAPL,5,11,equal,expanding,huber,0.2
e1,AAPL,5,11,equal,expanding,pls,0.2
e1,AAPL,5,11,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,11,equal,expanding,xgb,0.2
e1,AAPL,5,12,equal,expanding,elasticnet,0.2
e1,AAPL,5,12,equal,expanding,huber,0.2
e1,AAPL,5,12,equal,expanding,pls,0.2
e1,AAPL,5,12,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,12,equal,expanding,xgb,0.2
e1,AAPL,5,13,equal,expanding,elasticnet,0.2
e1,AAPL,5,13,equal,expanding,huber,0.2
e1,AAPL,5,13,equal,expanding,pls,0.2
e1,AAPL,5,13,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,13,equal,expanding,xgb,0.2
e1,AAPL,5,14,equal,expanding,elasticnet,0.2
e1,AAPL,5,14,equal,expanding,huber,0.2
e1,AAPL,5,14,equal,expanding,pls,0.2
e1,AAPL,5,14,equal,expanding,lgbm_reg,0.2
e1,AAPL,5,14,equal,expanding,xgb,0.2
e1,AAPL,5,0,inv_mae,expanding,elasticnet,0.2
e1,AAPL,5,0,inv_mae,expanding,huber,0.2
e1,AAPL,5,0,inv_mae,expanding,pls,0.2
e1,AAPL,5,0,inv_mae,expanding,lgbm_reg,0.2
e1,AAPL,5,0,inv_mae,expanding,xgb,0.2
e1,AAPL,5,1,inv_mae,expanding,elasticnet,0.18553027957527876
e1,AAPL,5,1,inv_mae,expanding,huber,0.17978469082703663
e1,AAPL,5,1,inv_mae,expanding,pls,0.20435219539833238
e1,AAPL,5,1,inv_mae,expanding,lgbm_reg,0.2284700118179082
e1,AAPL,5,1,inv_mae,expanding,xgb,0.20186282238144398
e1,AAPL,5,2,inv_mae,expanding,elasticnet,0.2038038770404142
e1,AAPL,5,2,inv_mae,expanding,huber,0.200613743095145
e1,AAPL,5,2,inv_mae,expanding,pls,0.20972919155988173
e1,AAPL,5,2,inv_mae,expanding,lgbm_reg,0.20641681055587682
e1,AAPL,5,2,inv_mae,expanding,xgb,0.17943637774868215
e1,AAPL,5,3,inv_mae,expanding,elasticnet,0.1822154940051986
e1,AAPL,5,3,inv_mae,expanding,huber,0.1901858418195619
e1,AAPL,5,3,inv_mae,expanding,pls,0.20185759303762732
